CREAR: FECHA: 15-04-2024 12:20:52, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2008, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:22:13, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2012, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:22:37, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2012, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:23:32, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2018, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:23:55, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2018, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:24:53, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2022, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:25:16, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2022, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 12:30:44, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2010, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 12:31:06, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2010, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 12:32:05, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2011, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 12:32:26, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2011, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 12:33:20, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2013, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 12:34:53, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2003, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 12:35:15, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2003, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 12:36:10, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2019, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 12:36:47, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2020, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 12:37:14, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2022, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 12:39:40, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2009, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:40:27, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2010, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:40:49, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2010, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:41:40, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2011, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:42:04, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2011, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:42:49, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2012, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:43:32, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2018, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:43:56, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2018, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 12:52:39, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2009, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:53:29, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2010, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:53:51, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2010, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:54:15, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2010, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:54:35, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2010, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:55:43, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2012, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:56:38, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2014, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:57:06, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2020, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:57:32, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2021, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:57:53, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2023, MONEDA: 10c, CECA: 
CREAR: FECHA: 15-04-2024 12:58:51, USUARIO: admin, COLECCIONISTA: 2, PAIS: 10, AÑO: 2014, MONEDA: 5c, CECA: 
CREAR: FECHA: 15-04-2024 12:59:34, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2017, MONEDA: 5c, CECA: 
CREAR: FECHA: 15-04-2024 13:00:49, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2010, MONEDA: 2c, CECA: 
CREAR: FECHA: 15-04-2024 13:01:38, USUARIO: admin, COLECCIONISTA: 3, PAIS: 10, AÑO: 2015, MONEDA: 2c, CECA: 
CREAR: FECHA: 15-04-2024 13:02:25, USUARIO: admin, COLECCIONISTA: 4, PAIS: 10, AÑO: 2015, MONEDA: 2c, CECA: 
CREAR: FECHA: 15-04-2024 13:03:25, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2012, MONEDA: 1c, CECA: 
CREAR: FECHA: 15-04-2024 13:04:10, USUARIO: admin, COLECCIONISTA: 5, PAIS: 10, AÑO: 2015, MONEDA: 1c, CECA: 
CREAR: FECHA: 15-04-2024 13:29:25, USUARIO: admin, COLECCIONISTA: 2, PAIS: 23, AÑO: 2017, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 13:32:47, USUARIO: admin, COLECCIONISTA: 5, PAIS: 18, AÑO: 2014, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 13:34:42, USUARIO: admin, COLECCIONISTA: 4, PAIS: 18, AÑO: 2014, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 13:35:31, USUARIO: admin, COLECCIONISTA: 5, PAIS: 18, AÑO: 2014, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 13:37:06, USUARIO: admin, COLECCIONISTA: 5, PAIS: 20, AÑO: 2008, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 13:38:48, USUARIO: admin, COLECCIONISTA: 2, PAIS: 17, AÑO: 2011, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 13:39:10, USUARIO: admin, COLECCIONISTA: 2, PAIS: 17, AÑO: 2018, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 13:41:12, USUARIO: admin, COLECCIONISTA: 2, PAIS: 21, AÑO: 2017, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 13:41:33, USUARIO: admin, COLECCIONISTA: 2, PAIS: 21, AÑO: 2021, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 13:41:50, USUARIO: admin, COLECCIONISTA: 2, PAIS: 21, AÑO: 2020, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 13:43:29, USUARIO: admin, COLECCIONISTA: 2, PAIS: 14, AÑO: 2015, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 13:44:13, USUARIO: admin, COLECCIONISTA: 2, PAIS: 14, AÑO: 2017, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 13:44:47, USUARIO: admin, COLECCIONISTA: 5, PAIS: 14, AÑO: 2008, MONEDA: 1€, CECA: 
CREAR: FECHA: 15-04-2024 13:45:37, USUARIO: admin, COLECCIONISTA: 2, PAIS: 14, AÑO: 2019, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 13:46:21, USUARIO: admin, COLECCIONISTA: 5, PAIS: 14, AÑO: 2008, MONEDA: 20c, CECA: 
CREAR: FECHA: 15-04-2024 14:23:56, USUARIO: admin, COLECCIONISTA: 2, PAIS: 13, AÑO: 2007, MONEDA: 2€, CECA: 
CREAR: FECHA: 15-04-2024 14:24:41, USUARIO: admin, COLECCIONISTA: 2, PAIS: 13, AÑO: 2007, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 14:25:05, USUARIO: admin, COLECCIONISTA: 5, PAIS: 13, AÑO: 2007, MONEDA: 50c, CECA: 
CREAR: FECHA: 15-04-2024 14:26:34, USUARIO: admin, COLECCIONISTA: 2, PAIS: 13, AÑO: 2019, MONEDA: 5c, CECA: 
